path_frame_index,reaction_coordinate_xi_angstrom,is_reactant_geometry,is_product_geometry,is_transition_state_geometry,lambda_1_dft_eV_per_angstrom2_per_amu,lambda_1_hip_eV_per_angstrom2_per_amu,lambda_1_equiformerv2_ad_eV_per_angstrom2_per_amu,lambda_2_dft_eV_per_angstrom2_per_amu,lambda_2_hip_eV_per_angstrom2_per_amu,lambda_2_equiformerv2_ad_eV_per_angstrom2_per_amu,lambda_3_dft_eV_per_angstrom2_per_amu,lambda_3_hip_eV_per_angstrom2_per_amu,lambda_3_equiformerv2_ad_eV_per_angstrom2_per_amu,lambda_4_dft_eV_per_angstrom2_per_amu,lambda_4_hip_eV_per_angstrom2_per_amu,lambda_4_equiformerv2_ad_eV_per_angstrom2_per_amu,lambda_5_dft_eV_per_angstrom2_per_amu,lambda_5_hip_eV_per_angstrom2_per_amu,lambda_5_equiformerv2_ad_eV_per_angstrom2_per_amu,lambda_6_dft_eV_per_angstrom2_per_amu,lambda_6_hip_eV_per_angstrom2_per_amu,lambda_6_equiformerv2_ad_eV_per_angstrom2_per_amu
0,-1.5121068643196178,True,False,False,0.059860089973065606,0.05461464558699592,-0.021854947800101297,0.10146121610635528,0.10058813901371665,0.08063138074593341,0.33189413514782723,0.3311256127977716,0.3265174026169272,0.5365911913106648,0.5213114785945608,0.36895331289175143,0.8269503132888911,0.8213732669535925,0.49314729631156107,1.0169888654540766,1.009147383481189,0.8718022614008701
1,-1.505416027697349,False,False,False,0.059085603462151484,0.05645687915565371,-0.020255209641749455,0.10355953572047315,0.10312734267194974,0.08253465510278717,0.33589778599341097,0.33550425657067223,0.33154100434167116,0.4752538834505892,0.4598755449075904,0.3618231516892361,0.8333082627481143,0.8289415476273639,0.45204677915785735,1.021498999510608,1.0136500155571815,0.869147821658885
2,-1.4993196632451762,False,False,False,0.0668567762477882,0.06636923162036429,-0.019106195016578745,0.10959464655097341,0.10800340876293621,0.0838878398016604,0.3415262983276673,0.34249412991720274,0.3319246186365907,0.40877541421171554,0.4072780232570476,0.34516431099036166,0.8371609042026432,0.8367705266404297,0.41026203578084197,1.0771200186533967,1.080290080686226,0.8713199481985817
3,-1.4934064334553865,False,False,False,0.0628159840763594,0.06369334809897682,-0.018747663232293158,0.11048007728358886,0.10933162139438352,0.08549631384801482,0.3443568039749925,0.3454208190199825,0.31396404821227447,0.3611866374125342,0.3599242472463862,0.3403487452606463,0.8400911527891184,0.8399454674412794,0.396094379098969,1.0759149613072143,1.0797023154313519,0.8703312428372108
4,-1.487937578755263,False,False,False,0.060311135467420514,0.06233284147846409,-0.018294504119500603,0.11203336997174433,0.11112241011916277,0.08706118983839391,0.29561407068084694,0.29452915849167743,0.28183535153792216,0.3476528711808505,0.34906480001958184,0.34292202336193855,0.8377120577255956,0.8381035397085654,0.38892719817016447,1.0668231809956963,1.0709832001968922,0.8685300945977142
5,-1.4828175181871115,False,False,False,0.059445788396071106,0.062492201832176617,-0.017888101601136137,0.11403046160835671,0.1132458528377501,0.08855404160361079,0.2348663640635241,0.23302815023846435,0.25027059025672244,0.3506003176043754,0.3521806391502225,0.3447585367338149,0.8357812134405828,0.8366001742786563,0.3855124715892011,1.058713168709151,1.0625177876083176,0.8670698130786179
6,-1.4779398128394565,False,False,False,0.05882685652109381,0.06281120658270921,-0.01725888907321471,0.1161794175724943,0.11549550544264149,0.09015750381980066,0.193183150534179,0.18961426145520405,0.22554027014302838,0.3539755103705175,0.35565472207858156,0.34510683050272645,0.83590572810591,0.8369500196540395,0.3855027432379279,1.0568533310785981,1.0598508390267298,0.8672591180198759
7,-1.4728636637687773,False,False,False,0.06006688664677343,0.06503210739120664,-0.01640938857792114,0.11904902208297721,0.11847982002848237,0.09187995490226043,0.15798757433552665,0.15207591486497507,0.20202732157409029,0.35785831082097413,0.3595654704587134,0.34562316004224797,0.8383616982331701,0.8394759073155862,0.38661314673575914,1.0604917571196677,1.0625164571844683,0.8675801292781747
8,-1.4676317793428928,False,False,False,0.06122217769379764,0.06688210018014418,-0.015750327154731875,0.11219443227084998,0.10404083351084399,0.09335214815779617,0.12286226275052042,0.12148482733145485,0.17421013463968632,0.3618362891209326,0.3634666841169046,0.3459498622580042,0.8416928543720341,0.8427623346285588,0.3874545506170839,1.064087528010802,1.064539294650267,0.8674121108233417
9,-1.4624051570529266,False,False,False,0.06270343951152652,0.05578636236267467,-0.015048196175871642,0.07071925685014518,0.07155017524111885,0.0946249434415876,0.1254363510080159,0.1248046695993229,0.1461353993043702,0.3662077142520315,0.3676947216099417,0.3461405721206084,0.8464149161667297,0.8472105307052459,0.38860135794429723,1.071604087869967,1.0701158645621498,0.867015165536143
