path_frame_index,reaction_coordinate_xi_angstrom,dft_projected_force_eV_per_angstrom,equiformerv2_ad_projected_force_eV_per_angstrom,equiformerv2_ad_projected_force_error_eV_per_angstrom,equiformerv2_ad_hessian_mae_eV_per_angstrom2,leftnet_cf_ad_projected_force_eV_per_angstrom,leftnet_cf_ad_projected_force_error_eV_per_angstrom,leftnet_cf_ad_hessian_mae_eV_per_angstrom2,is_reactant_geometry,is_product_geometry,is_transition_state_geometry
0,-1.5121068643196178,-0.0035718738831935874,0.0016381865854751673,0.005210060468668755,0.0723257261223346,0.013363020556085814,0.016934894439279403,0.06641427364433543,True,False,False
1,-1.505416027697349,-0.012797744952493563,-0.007707950980804382,0.005089793971689181,0.07259321074702309,0.005386147027187429,0.018183891979680993,0.06636415044555945,False,False,False
2,-1.4993196632451762,-0.04414175884800288,-0.03814266731154141,0.0059990915364614705,0.07413554218871024,-0.024044776181457266,0.020096982666545613,0.06595282445848204,False,False,False
3,-1.4934064334553865,-0.042486989428585115,-0.03676749460053309,0.005719494828052021,0.07403972377276702,-0.021581098528130803,0.02090589090045431,0.06555790155511058,False,False,False
4,-1.487937578755263,-0.04871206724451592,-0.04315697410062687,0.0055550931438890505,0.07425963283581113,-0.027467794098700548,0.02124427314581537,0.06551832116245916,False,False,False
5,-1.4828175181871115,-0.059427987728700074,-0.054129369915007886,0.0052986178136921885,0.07435702977146715,-0.037863548998219365,0.02156443873048071,0.06559058592610596,False,False,False
6,-1.4779398128394565,-0.06430041687410475,-0.05916125980704147,0.005139157067063277,0.07433224431026322,-0.042454215065217585,0.02184620180888716,0.06538577598442949,False,False,False
7,-1.4728636637687773,-0.07426501144455884,-0.06937186810702803,0.004893143337530811,0.07439516751129155,-0.05217302659656911,0.02209198484798973,0.06522142859337303,False,False,False
8,-1.4676317793428928,-0.08641904964110074,-0.08195097035034735,0.004468079290753393,0.07462335541523131,-0.06410115749016518,0.02231789215093556,0.0650475574764274,False,False,False
9,-1.4624051570529266,-0.09593576274023091,-0.09182488451251702,0.004110878227713888,0.07505863964120604,-0.07333113086380766,0.022604631876423253,0.06502185456434122,False,False,False
10,-1.4570245916682958,-0.11491144801388818,-0.11114310237744102,0.003768345636447165,0.07533653968465344,-0.09235380816600088,0.022557639847887306,0.06502309833319392,False,False,False
11,-1.450224477155115,-0.13036721533998294,-0.12714078108480278,0.003226434255180155,0.07846154010499175,-0.10696678649272173,0.023400428847261207,0.06532278538315167,False,False,False
12,-1.445539826677276,-0.12227933395104694,-0.11892536315501681,0.0033539707960301285,0.07814811166235426,-0.09874639895266471,0.02353293499838223,0.06523847007670898,False,False,False
13,-1.4410956135389463,-0.12433203918103072,-0.12062091857330735,0.00371112060772337,0.0782818735101155,-0.0999440050011601,0.02438803417987062,0.06514537521534954,False,False,False
14,-1.4363860637716868,-0.1333467859606959,-0.12933739123305127,0.0040093947276446384,0.07842271036124993,-0.10869384023589419,0.024652945724801714,0.06520352625711896,False,False,False
15,-1.4319180931325852,-0.13882838208254838,-0.13463038708894182,0.004197994993606569,0.07862880857981328,-0.1140327782757849,0.02479560380676349,0.06514605924624182,False,False,False
16,-1.4274781384689093,-0.14456098665781095,-0.14031836717570811,0.004242619482102833,0.07949944575039349,-0.11940519913805188,0.025155787519759068,0.06547828919425093,False,False,False
17,-1.4137636013194739,-0.18073606375365278,-0.1764885735544641,0.004247490199188686,0.08038221723722042,-0.15591925709598478,0.024816806657668,0.06579573600160483,False,False,False
18,-1.400247515041029,-0.21296077761976995,-0.20874533104773094,0.004215446572039011,0.08090720129014192,-0.18842351687919073,0.024537260740579214,0.0659168166491145,False,False,False
