grid_point_index,reaction_coordinate_xi_angstrom,compression_coordinate_sigma_angstrom,q_nh_angstrom,q_oh_angstrom,dft_energy_hartree,relative_dft_energy_kcal_per_mol
0,-1.8000000000000005,3.533333333333333,0.8666666447293124,2.666666666666667,-284.331875922356,15.779390774923815
1,-1.8000000000000005,3.604166666666666,0.9020833246891882,2.702083333333334,-284.342800416297,8.924167327607352
2,-1.8000000000000005,3.675,0.937499986994886,2.7375,-284.349441745587,4.756670277756352
3,-1.6800000000000002,3.3916666666666666,0.8558333201224664,2.5358333333333336,-284.329434775866,17.311233324983505
4,-1.6800000000000002,3.4624999999999995,0.8912499823722777,2.57125,-284.342158544497,9.326947963231865
5,-1.6800000000000002,3.533333333333333,0.9266666613960376,2.6066666666666665,-284.350283305726,4.228583317534735
6,-1.6800000000000002,3.604166666666666,0.9620833256629304,2.6420833333333333,-284.354698256163,1.4581600908188896
7,-1.6800000000000002,3.675,0.997499989477411,2.6775000000000007,-284.356129585831,0.559987163618048
8,-1.6800000000000002,3.7458333333333327,1.0329166575640163,2.712916666666666,-284.35516575232,1.1648018232130677
9,-1.6800000000000002,3.8166666666666655,1.0683333191746622,2.748333333333333,-284.352286835592,2.971349345059061
10,-1.56,3.320833333333333,0.8804166642150031,2.4404166666666662,-284.338880477688,11.383965942492832
11,-1.56,3.3916666666666666,0.9158333284134332,2.475833333333333,-284.34866440919,5.244456231403646
12,-1.56,3.4624999999999995,0.9512499907973476,2.5112499999999995,-284.354453002996,1.6120587766251846
13,-1.56,3.533333333333333,0.9866666776504726,2.5466666666666664,-284.35702198218,0.0
14,-1.56,3.604166666666666,1.0220833419944184,2.5820833333333333,-284.357003102563,0.0118471385444799
15,-1.56,3.675,1.0575000148736249,2.6175,-284.354908554435,1.326195932754198
16,-1.56,3.7458333333333327,1.0929166432238966,2.6529166666666666,-284.351160019564,3.678437078140736
17,-1.56,3.8166666666666655,1.1283333156448834,2.688333333333333,-284.346103545547,6.851422429168574
18,-1.56,3.8874999999999993,1.1637499910486968,2.72375,-284.340021095483,10.668217469852914
19,-1.4400000000000002,3.1791666666666663,0.8695833272246521,2.3095833333333333,-284.332907336966,15.132168335463458
20,-1.4400000000000002,3.25,0.9049999981363998,2.345,-284.344556325678,7.822317555422425
21,-1.4400000000000002,3.320833333333333,0.9404166616103932,2.380416666666666,-284.351898476171,3.215048561066319
22,-1.4400000000000002,3.3916666666666666,0.9758333223006572,2.415833333333333,-284.355763251316,0.7898655424792986
23,-1.4400000000000002,3.4624999999999995,1.0112499970716824,2.4512499999999995,-284.356827472887,0.1220564241570996
24,-1.4400000000000002,3.533333333333333,1.0466666609326538,2.486666666666667,-284.355638282199,0.8682848473595878
25,-1.4400000000000002,3.604166666666666,1.082083348263588,2.522083333333333,-284.352646315414,2.7457723510137497
26,-1.4400000000000002,3.675,1.1174999941555193,2.557500000000001,-284.348220594797,5.522953967742219
27,-1.4400000000000002,3.7458333333333327,1.152916648510994,2.5929166666666665,-284.342672092934,9.004691453642724
28,-1.4400000000000002,3.8166666666666655,1.1883333246644512,2.628333333333334,-284.33623560819,13.043646610147736
29,-1.4400000000000002,3.8874999999999993,1.2237500061380835,2.66375,-284.330409581566,16.699533512846997
30,-1.4400000000000002,3.958333333333333,1.2591666919151716,2.6991666666666667,-284.323054465233,21.31493869466005
31,-1.4400000000000002,4.029166666666666,1.294583356259566,2.734583333333333,-284.315371519752,26.136059772702925
32,-1.3200000000000005,3.0375,0.858750000146255,2.17875,-284.324088512926,20.666063970671424
33,-1.3200000000000005,3.108333333333333,0.894166670151659,2.2141666666666664,-284.337842007063,12.035616098228656
34,-1.3200000000000005,3.1791666666666663,0.9295833329037974,2.2495833333333333,-284.34694317357,6.324547890037259
35,-1.3200000000000005,3.25,0.9649999991214572,2.285,-284.352280394459,2.975391217037664
36,-1.3200000000000005,3.320833333333333,1.0004166625034665,2.3204166666666666,-284.354579136742,1.5329086560150793
37,-1.3200000000000005,3.3916666666666666,1.0358333313755863,2.355833333333333,-284.354430766567,1.6260123464944614
38,-1.3200000000000005,3.4624999999999995,1.0712499940027038,2.39125,-284.35231663287,2.95265127081966
39,-1.3200000000000005,3.533333333333333,1.1066666533943228,2.4266666666666663,-284.348632838967,5.26426684545299
40,-1.3200000000000005,3.604166666666666,1.1420833296580664,2.4620833333333336,-284.343704068285,8.357117143892182
41,-1.3200000000000005,3.675,1.1774999932338115,2.4975,-284.337803828514,12.059573499435208
42,-1.3200000000000005,3.7458333333333327,1.212916655194716,2.5329166666666665,-284.332865366824,15.15850499718287
43,-1.3200000000000005,3.8166666666666655,1.2483333271197266,2.5683333333333334,-284.325887598859,19.537120503032725
44,-1.3200000000000005,3.8874999999999993,1.2837499828475931,2.60375,-284.318517726404,24.161785291182728
45,-1.3200000000000005,3.958333333333333,1.319166658839939,2.639166666666666,-284.310883155044,28.95255115001172
46,-1.3200000000000005,4.029166666666666,1.3545833190319876,2.6745833333333326,-284.303089333871,33.84324777521123
47,-1.3200000000000005,4.1,1.3900000069806953,2.7099999999999995,-284.295215300837,38.784278103131854
48,-1.2000000000000002,2.9666666666666663,0.8833333332370523,2.083333333333333,-284.329199593995,17.45881217716725
49,-1.2000000000000002,3.0375,0.9187500001686284,2.1187499999999995,-284.340395262251,10.433424278063828
50,-1.2000000000000002,3.108333333333333,0.9541666663552594,2.1541666666666663,-284.347515801674,5.965218329692045
51,-1.2000000000000002,3.1791666666666663,0.9895833373415313,2.189583333333333,-284.351349916953,3.5592746674661053
52,-1.2000000000000002,3.25,1.0250000042583498,2.225,-284.352527757993,2.8201682559053824
53,-1.2000000000000002,3.320833333333333,1.0604166673806177,2.260416666666667,-284.351584183109,3.4122704350974438
